"GEO_ID","NAME","B01003_001E","B01003_001M"
"id","Geographic Area Name","Estimate!!Total","Margin of Error!!Total"
"8600000US11768","ZCTA5 11768","21113","585"
"8600000US11769","ZCTA5 11769","8340","581"
"8600000US11770","ZCTA5 11770","56","23"
"8600000US11771","ZCTA5 11771","9150","676"
"8600000US11772","ZCTA5 11772","45991","1412"
"8600000US11776","ZCTA5 11776","24950","1403"
"8600000US11777","ZCTA5 11777","9007","181"
"8600000US11778","ZCTA5 11778","12081","856"
"8600000US11779","ZCTA5 11779","37837","1310"
"8600000US11780","ZCTA5 11780","16099","613"
"8600000US11782","ZCTA5 11782","14965","587"
"8600000US11783","ZCTA5 11783","21280","856"
"8600000US11784","ZCTA5 11784","25337","1071"
"8600000US11786","ZCTA5 11786","6359","561"
"8600000US11787","ZCTA5 11787","34376","1124"
"8600000US11788","ZCTA5 11788","16583","1044"
"8600000US11789","ZCTA5 11789","8301","747"
"8600000US11790","ZCTA5 11790","17304","852"
"8600000US11791","ZCTA5 11791","26135","788"
"8600000US11792","ZCTA5 11792","7853","799"
"8600000US11793","ZCTA5 11793","30643","934"
"8600000US11794","ZCTA5 11794","3024","310"
"8600000US11795","ZCTA5 11795","24775","975"
"8600000US11796","ZCTA5 11796","4160","384"
"8600000US11797","ZCTA5 11797","8962","447"
"8600000US11798","ZCTA5 11798","14864","858"
"8600000US11801","ZCTA5 11801","40288","1401"
"8600000US11803","ZCTA5 11803","28520","746"
"8600000US11804","ZCTA5 11804","4671","339"
"8600000US11901","ZCTA5 11901","28387","1545"
"8600000US11930","ZCTA5 11930","882","265"
"8600000US11931","ZCTA5 11931","39","76"
"8600000US11932","ZCTA5 11932","1120","274"
"8600000US11933","ZCTA5 11933","7342","788"
"8600000US11934","ZCTA5 11934","7584","569"
"8600000US11935","ZCTA5 11935","3160","470"
"8600000US11937","ZCTA5 11937","16137","678"
"8600000US11939","ZCTA5 11939","999","218"
"8600000US11940","ZCTA5 11940","5532","591"
"8600000US11941","ZCTA5 11941","1797","360"
"8600000US11942","ZCTA5 11942","5174","417"
"8600000US11944","ZCTA5 11944","4287","489"
"8600000US11946","ZCTA5 11946","15453","1036"
"8600000US11947","ZCTA5 11947","486","318"
"8600000US11948","ZCTA5 11948","710","431"
"8600000US11949","ZCTA5 11949","13760","1015"
"8600000US11950","ZCTA5 11950","16444","904"
"8600000US11951","ZCTA5 11951","13015","880"
"8600000US11952","ZCTA5 11952","5010","744"
"8600000US11953","ZCTA5 11953","13645","822"
"8600000US11954","ZCTA5 11954","3685","517"
"8600000US11955","ZCTA5 11955","3748","566"
"8600000US11956","ZCTA5 11956","250","91"
"8600000US11957","ZCTA5 11957","835","170"
"8600000US11958","ZCTA5 11958","768","314"
"8600000US11959","ZCTA5 11959","545","185"
"8600000US11960","ZCTA5 11960","706","223"
"8600000US11961","ZCTA5 11961","12902","719"
"8600000US11962","ZCTA5 11962","324","138"
"8600000US11963","ZCTA5 11963","7161","906"
"8600000US11964","ZCTA5 11964","2413","266"
"8600000US11965","ZCTA5 11965","380","180"
"8600000US11967","ZCTA5 11967","27854","1333"
"8600000US11968","ZCTA5 11968","10517","707"
"8600000US11970","ZCTA5 11970","212","210"
"8600000US11971","ZCTA5 11971","6026","639"
"8600000US11972","ZCTA5 11972","1096","346"
"8600000US11973","ZCTA5 11973","40","20"
"8600000US11975","ZCTA5 11975","272","145"
"8600000US11976","ZCTA5 11976","1679","504"
"8600000US11977","ZCTA5 11977","2176","294"
"8600000US11978","ZCTA5 11978","3086","329"
"8600000US11980","ZCTA5 11980","5865","491"
"8600000US12007","ZCTA5 12007","9","14"
"8600000US12008","ZCTA5 12008","668","212"
"8600000US12009","ZCTA5 12009","7900","360"
